method,sigma,equation_type,n,h,error,rate
FA,0.0,Poisson,9,0.125,0.10126446881760098,
FA,0.0,Poisson,17,0.0625,0.02429817404773771,2.0592082493526744
FA,0.0,Poisson,33,0.03125,0.006013262176243206,2.0146281366236414
FA,0.0,Poisson,65,0.015625,0.0014995208914012625,2.003646238884859
CR,0.0,Poisson,9,0.125,0.10126446881760076,
CR,0.0,Poisson,17,0.0625,0.02429817404773771,2.0592082493526713
CR,0.0,Poisson,33,0.03125,0.006013262176244094,2.014628136623428
CR,0.0,Poisson,65,0.015625,0.00149952089139882,2.0036462388874217
FACR,0.0,Poisson,9,0.125,0.10126446881760098,
FACR,0.0,Poisson,17,0.0625,0.024298174047738152,2.0592082493526482
FACR,0.0,Poisson,33,0.03125,0.006013262176244982,2.0146281366232413
FACR,0.0,Poisson,65,0.015625,0.001499520891399042,2.003646238887421
FFT9,0.0,Poisson,9,0.125,0.0004450323077942464,
FFT9,0.0,Poisson,17,0.0625,1.1269428029647699e-05,5.303423874805824
FFT9,0.0,Poisson,33,0.03125,4.6512043083701826e-07,4.598666171424869
FFT9,0.0,Poisson,65,0.015625,2.5406444281728113e-08,4.194337928388573
FA,10.0,modified_H,9,0.125,0.09325980609111251,
FA,10.0,modified_H,17,0.0625,0.022501785486387593,2.051215948087742
FA,10.0,modified_H,33,0.03125,0.005576054649583773,2.0127228759949154
FA,10.0,modified_H,65,0.015625,0.0013909486634817725,2.0031755262740862
CR,10.0,modified_H,9,0.125,0.09325980609111229,
CR,10.0,modified_H,17,0.0625,0.022501785486387593,2.0512159480877385
CR,10.0,modified_H,33,0.03125,0.005576054649585105,2.012722875994571
CR,10.0,modified_H,65,0.015625,0.0013909486634782198,2.003175526278116
FACR,10.0,modified_H,9,0.125,0.09325980609111251,
FACR,10.0,modified_H,17,0.0625,0.022501785486387815,2.051215948087728
FACR,10.0,modified_H,33,0.03125,0.005576054649585549,2.01272287599447
FACR,10.0,modified_H,65,0.015625,0.0013909486634811064,2.0031755262752364
FFT9,10.0,modified_H,9,0.125,0.00041284138951991345,
FFT9,10.0,modified_H,17,0.0625,1.045459432980067e-05,5.3033786286240465
FFT9,10.0,modified_H,33,0.03125,4.314903292446104e-07,4.598665046376975
FFT9,10.0,modified_H,65,0.015625,2.356945527637322e-08,4.194337904084106
FA,100.0,modified_H,9,0.125,0.054492522539252075,
FA,100.0,modified_H,17,0.0625,0.013511509515890863,2.01186941431127
FA,100.0,modified_H,33,0.03125,0.0033705107190524775,2.003149744146884
FA,100.0,modified_H,65,0.015625,0.0008421613641993453,2.0007986176915575
CR,100.0,modified_H,9,0.125,0.05449252253925185,
CR,100.0,modified_H,17,0.0625,0.013511509515891529,2.0118694143111933
CR,100.0,modified_H,33,0.03125,0.0033705107190529215,2.003149744146765
CR,100.0,modified_H,65,0.015625,0.0008421613641986792,2.000798617692889
FACR,100.0,modified_H,9,0.125,0.05449252253925185,
FACR,100.0,modified_H,17,0.0625,0.013511509515891307,2.011869414311217
FACR,100.0,modified_H,33,0.03125,0.0033705107190531436,2.0031497441466466
FACR,100.0,modified_H,65,0.015625,0.0008421613641993453,2.0007986176918426
FFT9,100.0,modified_H,9,0.125,0.00025005459439841893,
FFT9,100.0,modified_H,17,0.0625,6.333265242908226e-06,5.303149800486455
FFT9,100.0,modified_H,33,0.03125,2.6139259134971837e-07,4.598659345532351
FFT9,100.0,modified_H,65,0.015625,1.4278145776813744e-08,4.194337709524372
FA,-5.0,true_H,9,0.125,0.10580519731979798,
FA,-5.0,true_H,17,0.0625,0.025308398725325087,2.0637223612375117
FA,-5.0,true_H,33,0.03125,0.006258625459925282,2.015698482729558
FA,-5.0,true_H,65,0.015625,0.0015604212001771867,2.0039103381426484
CR,-5.0,true_H,9,0.125,0.10580519731979754,
CR,-5.0,true_H,17,0.0625,0.02530839872532553,2.0637223612374807
CR,-5.0,true_H,33,0.03125,0.00625862545992506,2.015698482729635
CR,-5.0,true_H,65,0.015625,0.0015604212001756324,2.0039103381440344
FACR,-5.0,true_H,9,0.125,0.10580519731979754,
FACR,-5.0,true_H,17,0.0625,0.02530839872532553,2.0637223612374807
FACR,-5.0,true_H,33,0.03125,0.006258625459925726,2.0156984827294813
FACR,-5.0,true_H,65,0.015625,0.0015604212001747442,2.003910338145009
FFT9,-5.0,true_H,9,0.125,0.00046308668157934996,
FFT9,-5.0,true_H,17,0.0625,1.1726407602052902e-05,5.303449250638368
FFT9,-5.0,true_H,33,0.03125,4.839810281431767e-07,4.598666804046736
FFT9,-5.0,true_H,65,0.015625,2.6436672850849163e-08,4.194337970468188
