method,sigma,equation_type,bc_type,sub_exp,display,n,h,linf_error,l2_error,observed_order_linf,observed_order_l2,boundary_flux_linf,boundary_dirichlet_linf,mean_offset,weighted_mean_solution,compatibility_integral,error,rate
FA,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",9,0.125,0.012318597160209332,0.0068436650890052,,,0.04692562826576774,,0.0,-1.734723475976807e-18,5.273559366969494e-16,0.012318597160209332,
FA,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",17,0.0625,0.0030632774487351355,0.0016217351199184513,2.00769002503424,2.077230958287454,0.005925382846552196,,0.0,1.734723475976807e-18,2.7755575615628914e-17,0.0030632774487351355,2.00769002503424
FA,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",33,0.03125,0.0007648012600744991,0.00039398852791718144,2.0019192359745337,2.0413126742744314,0.0007425468979018746,,0.0,-8.673617379884035e-19,4.163336342344337e-17,0.0007648012600744991,2.0019192359745337
FA,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",65,0.015625,0.0001911367635756278,9.703866458436138e-05,2.0004796048180027,2.021522020382742,9.287699709403796e-05,,0.0,-6.938893903907228e-18,-1.3877787807814457e-17,0.0001911367635756278,2.0004796048180027
FA,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",129,0.0078125,4.778022026763473e-05,2.4075304785926297e-05,2.000119885693133,2.0110056344205995,1.161145761585658e-05,,0.0,1.951563910473908e-18,2.7755575615628914e-17,4.778022026763473e-05,2.000119885693133
CR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",9,0.125,0.012318597160210443,0.006843665089005432,,,0.0469256282657704,,0.0,5.204170427930421e-18,5.273559366969494e-16,0.012318597160210443,
CR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",17,0.0625,0.003063277448736468,0.0016217351199191573,2.007690025033743,2.077230958286875,0.005925382846555749,,0.0,-3.469446951953614e-18,2.7755575615628914e-17,0.003063277448736468,2.007690025033743
CR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",33,0.03125,0.0007648012600729448,0.00039398852791513257,2.001919235978093,2.0413126742825622,0.0007425468979160854,,0.0,-8.673617379884035e-19,4.163336342344337e-17,0.0007648012600729448,2.001919235978093
CR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",65,0.015625,0.00019113676357829235,9.703866458295887e-05,2.000479604794959,2.021522020396091,9.287699710114339e-05,,0.0,-6.5052130349130266e-18,-1.3877787807814457e-17,0.00019113676357829235,2.000479604794959
CR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",129,0.0078125,4.778022005424987e-05,2.4075304675558202e-05,2.000119892156272,2.0110056410134756,1.1611457551907733e-05,,0.0,-4.336808689942018e-19,2.7755575615628914e-17,4.778022005424987e-05,2.000119892156272
FACR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",9,0.125,0.01231859716021022,0.006843665089005507,,,0.04692562826577085,,0.0,-5.204170427930421e-18,5.273559366969494e-16,0.01231859716021022,
FACR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",17,0.0625,0.0030632774487358017,0.001621735119918672,2.0076900250340306,2.077230958287322,0.005925382846553973,,0.0,-8.673617379884035e-18,2.7755575615628914e-17,0.0030632774487358017,2.0076900250340306
FACR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",33,0.03125,0.0007648012600680598,0.0003939885279132885,2.0019192359869944,2.041312674288883,0.0007425468979000982,,0.0,8.673617379884035e-19,4.163336342344337e-17,0.0007648012600680598,2.0019192359869944
FACR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",65,0.015625,0.00019113676355830833,9.703866457455743e-05,2.000479604936583,2.021522020514245,9.287699706206354e-05,,0.0,-5.637851296924623e-18,-1.3877787807814457e-17,0.00019113676355830833,2.000479604936583
FACR,1.0,modified_H,neumann,a_pure_neumann_sigma1,"Pure Neumann, sigma=1",129,0.0078125,4.7780220123527783e-05,2.407530471316127e-05,2.0001198899136283,2.011005638635233,1.1611457608751152e-05,,0.0,-2.168404344971009e-19,2.7755575615628914e-17,4.7780220123527783e-05,2.0001198899136283
FA,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",9,0.125,0.0085587037414534,0.004754835411918519,,,0.046751339893131405,,0.0,-4.163336342344337e-17,-2.7755575615628914e-17,0.0085587037414534,
FA,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",17,0.0625,0.002134256854729566,0.0011299006877978778,2.0036584969067763,2.0731994301600056,0.005919894855099805,,0.0,-3.469446951953614e-18,-5.551115123125783e-17,0.002134256854729566,2.0036584969067763
FA,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",33,0.03125,0.000533225440761953,0.0002746918937257493,2.00091629315432,2.040309731454797,0.0007423750734076862,,0.0,-2.6020852139652106e-18,-2.7755575615628914e-17,0.000533225440761953,2.00091629315432
FA,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",65,0.015625,0.0001332851857167583,6.766786351767535e-05,2.000229176872087,2.021271592434774,9.287162500370982e-05,,0.0,0.0,-4.163336342344337e-17,0.0001332851857167583,2.000229176872087
FA,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",129,0.0078125,3.3319973070655706e-05,1.6789133717678743e-05,2.000057297911901,2.0109430466433817,1.1611289679080983e-05,,0.0,-4.336808689942018e-19,-2.0816681711721685e-17,3.3319973070655706e-05,2.000057297911901
CR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",9,0.125,0.008558703741453844,0.004754835411918588,,,0.046751339893134514,,0.0,-2.0816681711721685e-17,-2.7755575615628914e-17,0.008558703741453844,
CR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",17,0.0625,0.002134256854730898,0.0011299006877983594,2.0036584969059508,2.0731994301594114,0.005919894855101582,,0.0,-3.469446951953614e-18,-5.551115123125783e-17,0.002134256854730898,2.0036584969059508
CR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",33,0.03125,0.0005332254407588444,0.00027469189372411666,2.0009162931636313,2.0403097314639864,0.0007423750734165679,,0.0,-3.469446951953614e-18,-2.7755575615628914e-17,0.0005332254407588444,2.0009162931636313
CR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",65,0.015625,0.00013328518571564807,6.766786351627898e-05,2.0002291768756932,2.02127159245597,9.287162502147339e-05,,0.0,8.673617379884035e-19,-4.163336342344337e-17,0.00013328518571564807,2.0002291768756932
CR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",129,0.0078125,3.3319972916334706e-05,1.6789133638125178e-05,2.000057304581706,2.010943053449671,1.1611289664870128e-05,,0.0,0.0,-2.0816681711721685e-17,3.3319972916334706e-05,2.000057304581706
FACR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",9,0.125,0.0085587037414534,0.004754835411918517,,,0.046751339893131405,,0.0,-6.938893903907228e-18,-2.7755575615628914e-17,0.0085587037414534,
FACR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",17,0.0625,0.002134256854730898,0.001129900687798584,2.0036584969058757,2.0731994301591032,0.005919894855101582,,0.0,-6.938893903907228e-18,-5.551115123125783e-17,0.002134256854730898,2.0036584969058757
FACR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",33,0.03125,0.0005332254407612869,0.00027469189372500457,2.0009162931570232,2.04030973145961,0.0007423750734201207,,0.0,-3.469446951953614e-18,-2.7755575615628914e-17,0.0005332254407612869,2.0009162931570232
FACR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",65,0.015625,0.00013328518571409376,6.766786351548327e-05,2.0002291768991256,2.0212715924775986,9.287162502857882e-05,,0.0,4.336808689942018e-19,-4.163336342344337e-17,0.00013328518571409376,2.0002291768991256
FACR,10.0,modified_H,neumann,a_pure_neumann_sigma10,"Pure Neumann, sigma=10",129,0.0078125,3.331997287991939e-05,1.6789133619860227e-05,2.0000573061416,2.010943055002219,1.1611289707502692e-05,,0.0,6.505213034913027e-19,-2.0816681711721685e-17,3.331997287991939e-05,2.0000573061416
FA,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",9,0.125,0.0085587037414534,0.004252854081149172,,,0.046751339893134514,1.2246467991473532e-16,0.0,,,0.0085587037414534,
FA,10.0,modified_H,"('N', 'D')",b_mixed_ND_sigma10,"Mixed (N,D), sigma=10",17,0.0625,0.002134256854729566,0.0010652805845456034,2.0036584969067763,1.997197883437506,0.00591989485510247,1.2246467991473532e-16,0.0,,,0.002134256854729566,2.0036584969067763
