sigma,equation_type,n,dof,min_denominator,spectral_condition_indicator,gmres_iters,gmres_success,final_residual,linf_error,l2_error,solve_time_ms,status
1,modified_H,33,961,20.72335955068138,394.3992102468049,1,True,1.2311580786461338e-13,,,8.246183395385742,ok
10,modified_H,33,961,29.72335955068138,275.2810168210527,1,True,1.1630041898560338e-13,,,3.827810287475586,ok
100,modified_H,33,961,119.72335955068138,69.09492576465406,1,True,7.215729563186486e-14,,,3.5352706909179688,ok
1000,modified_H,33,961,1019.7233595506814,8.994867632031966,1,True,1.488094997317997e-14,,,3.736257553100586,ok
1,modified_H,65,3969,20.735245534455316,1579.4008660301026,1,True,9.23320088689644e-13,,,13.863801956176758,ok
10,modified_H,65,3969,29.735245534455316,1101.664511783074,1,True,8.62729302375517e-13,,,13.641357421875,ok
100,modified_H,65,3969,119.73524553445532,274.3408142509972,1,True,5.155142410355245e-13,,,16.798734664916992,ok
1000,modified_H,65,3969,1019.7352455344553,33.0951243494361,1,True,1.0564999383466447e-13,,,15.447378158569336,ok
1,modified_H,129,16129,20.738217925558274,6319.408073176879,1,True,7.438731104649301e-12,,,51.871299743652344,ok
10,modified_H,129,16129,29.738217925558274,4407.199587754518,1,True,6.9185928888624355e-12,,,46.088457107543945,ok
100,modified_H,129,16129,119.73821792555827,1095.324985240822,1,True,4.2228147928943204e-12,,,46.677589416503906,ok
1000,modified_H,129,16129,1019.7382179255583,129.4962368388103,1,True,8.552496951157411e-13,,,48.223018646240234,ok
-1,true_H,33,961,18.72335955068138,436.4214989479251,1,True,1.2296977715833407e-13,,,3.418445587158203,ok
-5,true_H,33,961,14.72335955068138,554.7155601502203,1,True,1.2727176634508163e-13,,,3.0608177185058594,ok
-10,true_H,33,961,9.72335955068138,839.4502535779759,1,True,1.3596468022848375e-13,,,2.774953842163086,ok
-1,true_H,65,3969,18.735245534455316,1747.8962148769936,1,True,9.314785984276805e-13,,,10.979175567626953,ok
-5,true_H,65,3969,14.735245534455316,2222.1051341087064,1,True,9.56095200501612e-13,,,10.833024978637695,ok
-10,true_H,65,3969,9.735245534455316,3362.859687369687,1,True,1.0039654693403315e-12,,,10.287284851074219,ok
-1,true_H,129,16129,18.738217925558274,6993.7953706539565,1,True,7.581925502371977e-12,,,53.71356010437012,ok
-5,true_H,129,16129,14.738217925558274,8891.662644967333,1,True,7.800922160235422e-12,,,53.08675765991211,ok
-10,true_H,129,16129,9.738217925558274,13456.493044600049,1,True,8.215674887442475e-12,,,56.64348602294922,ok
