mode_label,target_modes,n,N,h,delta,kappa2,sigma,lambda_target,target_lambda_spread,d_min_abs,nearest_p,nearest_q,num_near_zero,u_linf,u_l2,target_uhat_norm,predicted_target_uhat_norm,modal_amplitude_relative_error,target_energy_fraction,shape_correlation,dominant_relative_error,gmres_iterations,gmres_success,gmres_status,gmres_final_abs_residual,gmres_final_rel_residual
mode_11,"(1,1)",65,63,0.015625,0.1,19.83524553445552,-19.83524553445552,19.73524553445552,0.0,0.10000000000000142,1,1,1,0.19282588251116753,0.09802331572058907,6.175442944520901,6.175442944520989,1.423860026564181e-14,0.9999915971330543,0.9999957985577012,0.002898769902138712,1001,False,near_resonance,0.5664843395991824,0.5664843395991823
mode_11,"(1,1)",65,63,0.015625,0.01,19.74524553445552,-19.74524553445552,19.73524553445552,0.0,0.010000000000001563,1,1,1,1.9296693942414114,0.980229079763742,61.75442944520024,61.75442944520989,1.5625065988478044e-13,0.9999999164459824,0.9999999582229904,0.0002890571182456748,1001,False,near_resonance,0.614120426611065,0.6141204266110649
mode_11,"(1,1)",65,63,0.015625,0.001,19.73624553445552,-19.73624553445552,19.73524553445552,0.0,0.0010000000000012221,1,1,1,19.298102694018812,9.80229039220936,617.5442944513442,617.5442944520989,1.2222069289838672e-12,0.999999999164933,0.9999999995824667,2.889752962905325e-05,1001,False,near_resonance,0.6174559143577819,0.6174559143577818
mode_11,"(1,1)",65,63,0.015625,0.0001,19.73534553445552,-19.73534553445552,19.73524553445552,0.0,9.999999999976694e-05,1,1,1,192.9824355109783,98.02290388192326,6175.442944535382,6175.442944520989,2.330643127117903e-12,0.9999999999916498,0.9999999999958252,2.889671157473289e-06,1001,False,near_resonance,0.6175412911716582,0.6175412911716581
mode_23_32,"(2,3);(3,2)",65,63,0.015625,0.1,128.21274946987737,-128.21274946987737,128.11274946987737,0.0,0.09999999999999432,2,3,2,0.06791783153193487,0.029067152059804223,1.8311545936676257,1.8311545936675213,5.699189171447602e-14,0.9999170126095803,0.999958505443891,0.009109741512235758,1001,False,near_resonance,0.18295758741233145,0.18295758741233142
mode_23_32,"(2,3);(3,2)",65,63,0.015625,0.01,128.12274946987736,-128.12274946987736,128.11274946987737,0.0,0.009999999999990905,2,3,2,0.6811729937043185,0.2906595800996612,18.31154593669187,18.311545936675213,9.097361029759253e-13,0.999999168876067,0.999999584437947,0.0009116599876053514,1001,False,near_resonance,0.1832682848420002,0.18326828484200017
mode_23_32,"(2,3);(3,2)",65,63,0.015625,0.001,128.11374946987738,-128.11374946987738,128.11274946987737,0.0,0.0010000000000047748,2,3,2,6.813718042928047,2.906594605189622,183.11545936587783,183.11545936675213,4.77463032625215e-12,0.9999999916875576,0.9999999958437784,9.117259801501248e-05,1001,False,near_resonance,0.18328608743115676,0.18328608743115674
mode_23_32,"(2,3);(3,2)",65,63,0.015625,0.0001,128.11284946987737,-128.11284946987737,128.11274946987737,0.0,0.00010000000000331966,2,3,2,68.1391678750299,29.065945931473678,1831.1545936067337,1831.1545936675213,3.319636158461826e-11,0.9999999999168744,0.9999999999584371,9.117325534474181e-06,1001,False,near_resonance,0.18328769529899563,0.1832876952989956
mode_33,"(3,3)",65,63,0.015625,0.1,177.43206073702854,-177.43206073702854,177.33206073702854,0.0,0.09999999999999432,3,3,1,0.019303106683614027,0.00929781742149789,0.5845913043839249,0.5845913043838916,5.697431776522412e-14,0.9960051307009672,0.9980005664832892,0.06320497843550711,1001,False,near_resonance,0.27109089716261564,0.2710908971626156
mode_33,"(3,3)",65,63,0.015625,0.01,177.34206073702853,-177.34206073702853,177.33206073702854,0.0,0.009999999999990905,3,3,1,0.18332797816710183,0.0927941596066365,5.8459130438442335,5.845913043838917,9.094620430470175e-13,0.9999592851488507,0.9999796423672092,0.00638081900302048,1001,False,near_resonance,0.27157085380372936,0.2715708538037293
mode_33,"(3,3)",65,63,0.015625,0.001,177.33306073702855,-177.33306073702855,177.33206073702854,0.0,0.0010000000000047748,3,3,1,1.827158565388703,0.9279228945620034,58.45913043811004,58.45913043838917,4.77478207805667e-12,0.9999995922179328,0.9999997961089454,0.0006385781606981764,1001,False,near_resonance,0.27161910159185915,0.2716191015918591
mode_33,"(3,3)",65,63,0.015625,0.0001,177.33216073702854,-177.33216073702854,177.33206073702854,0.0,0.00010000000000331966,3,3,1,18.268789002832843,9.279227072326915,584.5913043644853,584.5913043838917,3.319662256415239e-11,0.9999999959215596,0.9999999979607794,6.386266853331281e-05,1001,False,near_resonance,0.2716239289349415,0.27162392893494147
