n,n_interior,h,p_target,q_target,lambda_h,delta,sigma,equation_type,min_denominator,spectral_condition,resonant_p,resonant_q,solution_l2,solution_linf,target_mode_abs,gmres_iters,gmres_success,gmres_abs_residual,fa_time_ms,gmres_time_ms
65,63,0.015625,2,3,128.11274946987737,0.1,-128.21274946987737,true_H,0.10000000000067644,326200.52004775015,2.0,3.0,0.22234724836835706,0.5617687759740921,12.491089055676852,1001,False,1.4452776670945953,9.292125701904297,660.2368354797363
65,63,0.015625,2,3,128.11274946987737,0.05,-128.16274946987738,true_H,0.05000000000069349,652402.0400908646,2.0,3.0,0.44467696759551634,1.1257057251661626,24.982178111176196,1001,False,1.4462824616769103,6.186723709106445,310.50896644592285
65,63,0.015625,2,3,128.11274946987737,0.01,-128.12274946987736,true_H,0.010000000000673026,3262014.2002800247,2.0,3.0,2.223356796838301,5.637207803344749,124.91089054920664,1001,False,1.4467647800015364,2.6082992553710938,329.23007011413574
65,63,0.015625,2,3,128.11274946987737,0.005,-128.11774946987737,true_H,0.0050000000006775736,6524029.400115031,2.0,3.0,4.446711841029865,11.276586222165422,249.82178108137236,1001,False,1.4467999261426459,3.3288002014160156,384.9360942840576
65,63,0.015625,2,3,128.11274946987737,0.001,-128.11374946987738,true_H,0.0010000000006868959,32620150.98258902,2.0,3.0,22.23355638919865,56.39161420676497,1249.1089047181272,1001,False,1.4468234812161824,3.0846595764160156,736.1066341400146
65,63,0.015625,2,3,128.11274946987737,0.0005,-128.11324946987736,true_H,0.0005000000006702976,65240302.9225305,2.0,3.0,44.46711257410069,112.78539920442726,2498.217807803171,1001,False,1.4468261818762507,5.820274353027344,311.77473068237305
65,63,0.015625,2,3,128.11274946987737,0.0001,-128.11284946987737,true_H,0.00010000000068544068,326201516.81403875,2.0,3.0,222.33556136422206,563.9356764375362,12491.088970142342,1001,False,1.4468282513643647,12.810707092285156,675.1244068145752
65,63,0.015625,2,3,128.11274946987737,,-1.0,true_H,18.735245534455316,1747.8962148769936,,,0.0036376274047135544,0.011402482231784316,,884,True,9.798648456964018e-11,,
65,63,0.015625,2,3,128.11274946987737,,-5.0,true_H,14.735245534455316,2222.1051341087064,,,0.0045254572176270024,0.013293362672090182,,1001,False,6.079428718481525e-10,,
65,63,0.015625,2,3,128.11274946987737,,-10.0,true_H,9.735245534455316,3362.859687369687,,,0.006667600643072408,0.017649509878423533,,1001,False,4.295967340207977e-07,,
65,63,0.015625,2,3,128.11274946987737,,-20.0,true_H,0.2647544655446836,123617.42298522957,,,0.23713937158984646,0.4807946728634556,,1001,False,3.7385333412848865,,
