case,sigma,n,N,h,dof,method,discretization,time_s_median,time_s_iqr,linf_error,l2_error,gmres_restart,gmres_tol_type,gmres_tol,gmres_iterations,gmres_converged,gmres_final_absres,gmres_final_relres,timing_scope,warmup,repeat
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,FA,five_point_second_order,0.006598600011784583,0.0031527999963145703,1.3590703225963528e-05,6.806490095062268e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,FA,five_point_second_order,0.011874099989654496,0.007971950006322004,3.397223575082528e-06,1.7278049737090557e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,FA,five_point_second_order,0.013524599984521046,0.0060051499895052984,8.492778928266206e-07,4.353000319448534e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,FA,five_point_second_order,0.024150799989001825,0.01749345001007896,2.1231772562302353e-07,1.092484729913389e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,FA,five_point_second_order,0.0792074000055436,0.012859199996455573,5.307931695997664e-08,2.7365357097999156e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,CR,five_point_second_order,0.002286900009494275,0.00018489999638404697,1.359070322595312e-05,6.806490095057274e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,CR,five_point_second_order,0.007196500024292618,0.0006101499893702567,3.3972235750686502e-06,1.727804973700316e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,CR,five_point_second_order,0.03330840001581237,0.014349600009154528,8.492778921162514e-07,4.3530003160006656e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,CR,five_point_second_order,0.24824200000148267,0.07650460000149906,2.1231772870302507e-07,1.0924847453310203e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,CR,five_point_second_order,0.8534093000052962,0.11734765001165215,5.307931920904563e-08,2.736535832837773e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,FACR,five_point_second_order,0.004425099992658943,0.0019314999954076484,1.3590703225952253e-05,6.8064900950564955e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,FACR,five_point_second_order,0.010100899991812184,0.0010724500025389716,3.3972235750209454e-06,1.727804973677185e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,FACR,five_point_second_order,0.02397969999583438,0.0024882000143406913,8.492778918664512e-07,4.353000314809361e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,FACR,five_point_second_order,0.06720230000792071,0.005632699991110712,2.123177297950335e-07,1.0924847507003993e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,FACR,five_point_second_order,0.24482439999701455,0.024050899999565445,5.307932347733274e-08,2.736536036150321e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,FFT9,fft9_compact_fourth_order_dirichlet,0.006443399994168431,0.0010507999977562577,1.2765648690470782e-08,5.532466440256432e-09,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,FFT9,fft9_compact_fourth_order_dirichlet,0.016157700010808185,0.0028918500029249117,7.978536581410012e-10,3.510995537790975e-10,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,FFT9,fft9_compact_fourth_order_dirichlet,0.04492550002760254,0.0037375499960035086,4.9866029708245385e-11,2.2113913841578743e-11,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
